Taxa	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
OTU_47	0.000248849	0	0.005363933	0	0	0.000686342	0.023375381	5.99E-05	0	0	0	0	0	0	0	0	0	0	0.001580355	0.004424521	0	0
OTU_138	0	0	0.000543183	0	0	0	0.00167394	0	0	0	0.000486559	0	0	0	0.006369427	0	0.001142396	0	0	0	0	0
OTU_34	0	0.002598688	0.00258012	0.000411015	0.0073368	0.000436763	0.000119567	0.007245943	0.001175625	0.001268794	0.004865588	0	0.000572803	0.004577465	0.000833383	0.002432778	0.002015994	0.005433485	0.020726963	0.000174652	0	0.002977275
OTU_936	0.002612915	0	0	0	0	0.000748737	0	0	0.000326563	0	0.000608199	0	0	5.87E-05	0	0	0	0.000119417	0	5.82E-05	0	0
OTU_469	0.022396417	0.003898032	0	0.019024132	0.002021953	0.026330567	0.002510911	0.001916282	0.00933969	0.007803083	0.008636419	0.005611672	0.000343682	0.006690141	0.009822013	0.010947503	0.022579128	0.066216862	0.051604668	0.000523956	0.011691495	0.0017013
OTU_26	0.020218987	0.002165574	0.003598588	0.000293582	0.000519931	0.002558183	0	0.001736631	0.009405003	0.040664848	0.000851478	0.003787879	0.000515523	0.008039906	0.000297637	0	0.009609569	0.00173155	0.000121566	0.024393084	0.022251556	0.00085065
OTU_36	0.006159015	0.006434847	0.00224063	0.007809289	0.001097631	0.013165284	0	0.000718606	0.007119065	0.012243862	0.000243279	0.002174523	0.002233933	0.003521127	0.008869576	0.007746479	0.017539144	0.012240267	0.012035011	0.002212261	0.005185744	0.00255195
OTU_67	0.001119821	0.0021037	0.005092341	0	0.00034662	0.000187184	0	0.000239535	0	0.002474148	0.002919353	0.000982043	0	0.000704225	0.000654801	0.000704225	0.002150393	0.00041796	0	0.00756826	0	0.003767165
OTU_541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11	0.000622123	0.014664027	0.004209669	0.175209911	0.048353553	0.018406439	0	0.001197677	0.001828751	0.002283829	0.00395329	0.021955668	0.054301753	0.011032864	0.001428656	0.005121639	0.00631678	0.032720325	0.012156577	0.00512313	0.044125966	0.010693887
OTU_27	0.005536892	0.023202574	0.038362303	0.000293582	0.003292894	0.046546453	0.000657619	0.002575004	0.001436875	0.007612764	0.003770831	0.006242985	0.002520335	0.01185446	0.028096911	0.015364917	0.002351992	0.001671841	0	0.016650172	0.009334339	0.011301495
OTU_1031	0.000684335	0.007981685	0.001697447	0	0.004737146	0.00330692	0.000478269	0.015689562	0.000195938	0.026137157	0.00018246	0.000561167	0	0.008098592	0.004643134	0.002560819	0	0.020181514	0.017566253	0.002270478	0	0
OTU_37	0.006221227	0.004145527	0.00258012	0.002231225	0.001617562	0.000311974	0.000239134	0.000898257	0.004506564	0.003996701	0.001033937	0.000210438	0.003035857	0.006748826	0.000654801	0.001536492	0.00302399	0.000716503	0.001215658	0.000407522	0.005091458	0.002005104
OTU_57	0.012006968	0.012745947	0.002512222	0.000704597	0.000693241	0.00648905	0.000119567	0.003233727	0	0	0.006081985	0.002665544	0	0.004812207	0.001190547	6.40E-05	0.014111955	0	0	0.002095826	0.000660004	0.00334184
OTU_64	0.000124425	0.005444871	0.001697447	5.87E-05	0	0.001809447	0.008011	5.99E-05	0	0	0.00012164	0	0	0.001701878	0.000535746	0.000576184	0	0	0	0.002212261	0	0.010572366
OTU_1035	0	0	0.000203694	0.000117433	0	0.000561552	0.016261135	0.000119768	0.000130625	0.005709573	0.000608199	0.00035073	0.000400962	0	0.000238109	0.012612036	0.001209596	0	6.08E-05	0.000291087	0.00452574	0.000972172
OTU_30	0.013935548	0.002413068	0.001493753	0.003111972	0.000982091	0.000124789	0.000597836	0.001616863	0.001045	0.003996701	0.00012164	0.00154321	0.0069882	0.00129108	0.000476219	0.002048656	0.002351992	0.000955338	0.001884269	0.003434826	0.003111446	0.001579779
OTU_93	0.000622123	0.004083653	0.007332971	0	0.000982091	0.006801023	0	0.010359902	0	0.001015035	0.000243279	7.01E-05	0	0.015023474	0.004821716	0.000320102	0.000268799	0.004119895	0.005166545	0.001047913	0.002828588	0.010815409
OTU_1032	0	0	0	0	0.00017331	0.000249579	0	0.000239535	0	0	0	0	0	0.000176056	0	0.000320102	0	0	0	0	0	0
OTU_1027	0.001244245	0.000185621	0.000475285	0	5.78E-05	0.000686342	0	0.000239535	0.002547188	0.000380638	0	0	0.000343682	0.000117371	0	6.40E-05	0.000201599	5.97E-05	0	0.000523956	0	0.000243043
OTU_96	0	0	0.000271592	0	0	0	0	0	0	0	0.001520496	0	0	0	0.000119055	0.000192061	6.72E-05	0.002866014	0.000364697	0.00023287	0	0
OTU_54	0.00547468	0.000309368	0.00224063	0.002642241	0.000577701	0.000124789	0.000478269	0.000598838	0.001698126	0.001839751	6.08E-05	0.002384961	0.003207698	0.000762911	0.00089291	0	0.00309119	5.97E-05	0.000547046	0.000640391	0.002074298	0.002126625
OTU_611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1103	0.001741944	0.000371241	0.000678979	0.000411015	0.00017331	0.000748737	0	0.000179651	0.001371563	0	0	0.002174523	0.001832971	0.000117371	0.000238109	0	0.000403199	0	0.014952589	0.000756826	0.004902885	0.000182282
OTU_42	0.005412467	0.001670585	0.001765345	0	0	0.002183815	0	0.001497096	0.010515316	0.005202055	0.001094757	0.000841751	5.73E-05	0.001819249	0.001011965	6.40E-05	0.000940797	0.005134941	0	0.002736217	0.002357156	0.004131729
OTU_39	0.010016175	0.001484965	0.001154264	0.007163408	0.006759099	0.010482311	0.002271776	0.009461644	0.00026125	0.002854787	0.001520496	0.003226712	0.000687364	0.002992958	0.000773856	0.023175416	0.0001344	0	0.018356431	0.000116435	0.003865736	0.002308908
OTU_682	0.0167351	0.000556862	0.000271592	0.001702777	0.001502022	0.010170338	0.001255455	0.029103539	0.002873751	0.004821417	0	0.000280584	0.000515523	0.000117371	5.95E-05	0.003008963	0.004233586	0.000537378	0.00316071	0.003900565	0	0.000911411
OTU_14	0.023454025	0.0189333	0.006857686	0	0.000808781	0.013664441	0.000119567	0.004431403	0.04689439	0.029372581	0.004561489	0.008627946	0.004754267	0.007159624	0.002142985	0.000960307	0.015052752	0.008896585	0.000243132	0.003318391	0.027531586	0.009417912
OTU_80	0.00136867	0.009776018	0.000407387	0.00281839	0.00034662	0.000124789	0.000179351	0.000479071	0.000457188	0.006978367	0.000547379	0.000841751	0.000572803	0.002875587	0.005119352	0.002112676	0.00322559	0.000238834	0.00443715	0	0.000377145	0
OTU_50	0.004168222	0.005568618	0.00129006	0.000587165	0.000808781	0.000311974	0.000179351	0.000538954	0	0.00222039	0.001520496	0	0	0.000528169	0.000238109	0.003393086	0.001545595	0.002806305	0.026866035	0	0.00150858	0.000182282
OTU_41	0.011011571	0.004826135	0.001561651	0	0.00023108	0.003930867	5.98E-05	0.000958141	0.027692509	0.001839751	0.003345092	0.000911897	0.002062092	0.002171362	0.002797786	0	0.010079968	0.003104848	0	0.000931478	0.00377145	0.001883582
OTU_12	0.025320393	0.02208885	0.028245519	0.019846163	0.00762565	0.118050789	0.007054463	0.001736631	0.021357194	0.013195458	0.000486559	0.003507295	0.004467866	0.007453052	0.037978451	0.006145967	0.007593576	0.000298543	0	0.005821738	9.43E-05	0.004070969
OTU_1039	6.22E-05	0.002598688	0.000407387	0.002172509	0.00797227	0.002807762	0.020087284	0.005988383	0.002351251	0.018460953	0.002311154	0.007716049	0.007961966	0.003169014	0.005714626	0.004609475	0.006988778	0	0.018477997	0.001280782	0.003865736	0.002977275
OTU_35	0.000248849	0	0.000678979	0.000645881	0.00017331	0.013165284	5.98E-05	0.002634888	6.53E-05	0.023789888	0.001216397	0.001332772	0.003035857	0.000528169	0.000297637	0.017221511	0	0.000179126	0	0.000989696	0.000188573	0
OTU_1023	0.001741944	0.000680609	0.000135796	0.000293582	0	0.000998315	5.98E-05	5.99E-05	0.000130625	6.34E-05	0.000912298	0.000280584	0.000286402	0.001408451	0.00202393	0.014084507	0.0001344	0.000358252	0.010029176	5.82E-05	0	0.001883582
OTU_143	0	0.000556862	0	0	0	0.000623947	0	0	0	0	0	0	0	0.000880282	0	0	0.001545595	0.000119417	0	0	0	6.08E-05
OTU_58	0	0.001856206	0.001765345	0	0.002426343	0.000124789	0.000478269	0.000179651	0.000979688	0	0.021165308	0.000841751	0	0	0.001607239	0.004801536	0	0	0.000364697	0.000465739	0.001131435	0.003463361
OTU_82	0.00192858	0	0.000746877	0	0	0	0	0.000419187	0	0	0.000243279	0	0	0	0	0.003072983	0.000268799	0.008956293	0	0.000174652	0	0
OTU_106	0	0	0	0	0	0	0.011598015	0	0	0	0.003649191	0	0	0	0	0	0	0	0	0	0	6.08E-05
OTU_59	0	0.000742482	0	0	0	0	0	0.000119768	0	0	0.002676073	7.01E-05	0	0.000528169	0	0.010307298	0	0.000537378	0	0.000174652	0	0.000668368
OTU_230	0	0.000123747	0	0	0	0	0	0.000119768	0.002155313	6.34E-05	0	0.000701459	0	0	0	0.000256082	0.000671998	0.000656795	6.08E-05	0	0.000282859	6.08E-05
OTU_158	0	0.000371241	0.000339489	0.000234866	0.000404391	0	5.98E-05	0	0.00026125	0.001268794	0	0	0.000286402	0	0	0	0.000470398	0.000298543	0	0	0.00075429	6.08E-05
OTU_243	0.000808759	0.002784309	0.004345464	0.000234866	0.00028885	0.00542834	0.001135888	0.000598838	0.00803344	0.006534289	0.000729838	0.000140292	0.001088326	0.001877934	0.00113102	0.000896287	0.002687991	0.000119417	0.000607829	0.001688304	0.000282859	0.002187386
OTU_537	0	0	0	0	0.000751011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_77	0.002239642	0.002660562	0.002308528	0	0.001964183	0.008672865	0.00083697	0.000538954	0.006008752	0.004884857	0.001459676	0.021464646	0	0.000938967	0.000357164	0.002752881	0.001209596	0.00865775	0	0.003027304	9.43E-05	0.002065865
OTU_1106	6.22E-05	0	0	0	0.00017331	0	0.000179351	0	0.0015675	0	0.000851478	7.01E-05	0	0	0.002262039	0.000256082	0	0.000477669	6.08E-05	0.000116435	0.000188573	6.08E-05
OTU_99	0	0.000433115	0.001018468	0	0	6.24E-05	0	5.99E-05	0	0.000444078	0.042999635	0.000911897	0	0.000117371	0.001428656	0.000320102	0.000873597	0.000238834	0	0.000698609	0.000565718	0.004557054
OTU_263	0.00055991	0.003403044	0.006586095	0.000293582	0.00023108	0.017907281	0.002989179	0.000179651	6.53E-05	0.000190319	0	0.000280584	0.000114561	0.001467136	0.001845348	0.003521127	6.72E-05	0.000179126	0	0.001688304	0.000282859	0.002612711
OTU_219	0.002488491	0.001979953	0.002308528	0	0.00017331	0.001684657	0	0.000538954	0.001502188	0.001649432	0	0.000771605	0.000171841	0.002112676	0	0.000192061	0.001881594	0.001074755	0	0.000407522	0.000471431	0.000364564
OTU_622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_154	0	6.19E-05	0	0	0.003523975	0	0	0	0	0	0.002250335	0	0	0	0	0	0	0	0	0	0	0
OTU_84	0	0	0.000611081	0	0.001039861	0.001559868	0.000119567	0.000299419	0.020181569	0	0.000912298	0	0.000515523	0.000176056	0.00113102	0.000704225	0	5.97E-05	0.000607829	0.00023287	0.00075429	0.002369668
OTU_807	0.027622247	0.006063606	0.004752852	0.000645881	0	0.001809447	0	0.001616863	0.000979688	0.009262196	0.001338037	0.007505612	0.000916485	0.001408451	0.000238109	0.008450704	0.000403199	0.023107237	0.014709458	0.000116435	0.009145767	0.001154454
OTU_228	0	0.000618735	0	0.000587165	0	0	5.98E-05	0	0	0	0	7.01E-05	0.000859205	0.000234742	0.000595274	0	0	0	0	5.82E-05	0	0.000243043
OTU_1021	0	0	0	0	0.004448296	0	0	0	0	0	0	0.002946128	0	0	0.000119055	0	6.72E-05	0	0	0.00023287	9.43E-05	0.001397497
OTU_60	0.01070051	0	0.029467681	0	0	0	0	5.99E-05	0	0	0.010217735	7.01E-05	0	0	5.95E-05	0.000640205	0	0	6.08E-05	0.000116435	0	0.015007899
OTU_490	0	6.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29	0.008087595	0.013179062	0.017517653	0	0.00011554	0.005365945	0	0.003832565	0.019724381	0.006153651	0.00012164	0.010802469	0.013632719	0.006748826	0.004881243	0.000640205	0.022377528	0.000238834	6.08E-05	0.007160738	0.024231567	0.014947138
OTU_259	0.018352619	0.004083653	0.005228137	0.000117433	0.00011554	0.002308604	0	0.001018025	0.004441251	0.000317199	0.000608199	0.00119248	0.000171841	0.000352113	0.001011965	0.003329065	0.01256636	0.000597086	0.000547046	0.001222565	0.003300019	0
OTU_28	0.008523081	0.009033535	0.033202064	0	0.003812825	0.003057341	5.98E-05	0.002215702	0.004963752	0.001268794	0.00018246	0.011153199	0.000229121	0.025880282	0.006309899	0.001216389	0.010751966	0.003283974	0	0.00110613	0.001320008	0.001458257
OTU_319	0	0	0	0.000763314	0.00034662	0	0.000657619	0	0	0	0.000912298	0	0	5.87E-05	0.000178582	0.000128041	0	0	0.000182349	0	0	0.000182282
OTU_927	0.000124425	0.001608712	0.000135796	0	0	0.000249579	5.98E-05	0.000179651	0	0	0	0	0	0.000176056	0.000416691	0	0.000201599	0	0	0.00023287	0	0
OTU_22	0.002923977	0.015035268	0.026548072	0	0.000577701	0.000686342	0.049620374	0.007964549	0.044739076	0.00843748	0.001520496	0.009118967	0.003150418	0.003579812	0.001250074	0.000384123	0.04388146	0.001910676	0.000182349	0.001630087	0.001791439	0.006440637
OTU_40	0.021774294	0.00946665	0.000407387	5.87E-05	0.004506066	0.000499158	0.000119567	0.005030241	0.010450003	0.003616063	0	7.01E-05	5.73E-05	0.009565728	0.000357164	0.000320102	0	0.022390733	0.002127401	0.000465739	0.005468603	0
OTU_841	0.00466592	0.004702388	0.002919609	0.00099818	0.001386482	0.00106071	0.000478269	0.00077849	0.003265626	0.000697837	0.000912298	0.000140292	0.001260167	0.003286385	0.001011965	0.000192061	0.002150393	0.000179126	0.011670314	0.001513652	0.001131435	0.000668368
OTU_139	0.000373274	0.000247494	0	5.87E-05	0.00028885	0	0	0	0.000653125	0.001966631	6.08E-05	0.000561167	0.000515523	5.87E-05	0	0.000192061	0.000268799	0.000238834	0.000486263	0.000291087	0.000660004	0.000729129
OTU_1136	0	0.000866229	0.000271592	0	0.003466205	0.000811131	0.000298918	0.000119768	0	0	6.08E-05	7.01E-05	0.000400962	0.000880282	0.006250372	0.000832266	0.000268799	0	0.053732069	0.000174652	0.003394305	0.004253251
OTU_619	0	0	6.79E-05	0.000704597	0	0	0.000119567	0	0	0	0	0.001332772	0	0.001467136	0.000119055	0.000896287	0.000537598	5.97E-05	0	0.00023287	0.000471431	0
OTU_236	6.22E-05	0	0	0	0	0	0.000119567	0	0	0.001141915	0	0	0	0	0	0	0	0.000119417	0	0	0.000282859	0
OTU_288	0	0	0	0	0	0	0.000418485	0	0	0	0	0	0	0	0.001011965	0	0	0	0	0	0	0.000303804
OTU_76	0	0.003031803	0	0.003288122	0.001848642	0.000686342	0.001853291	0.000239535	0.002351251	0	0.010643474	0	0	0	0.001964403	0	0.000940797	0	0.000668612	0.000116435	0	0.0017013
OTU_996	6.22E-05	0.000371241	0.000203694	0.00099818	0.000577701	6.24E-05	5.98E-05	0.000419187	0.00130625	0.004440779	6.08E-05	0.000771605	5.73E-05	0.000762911	0.001190547	0.001792574	0.005644782	0.000835921	0.001215658	0.000349304	0	6.08E-05
OTU_924	0.000124425	0.004454894	0.002648017	0.000117433	0.000866551	0	0.000179351	0.002694772	0.006923127	6.34E-05	0.001459676	0.000911897	0	0.004577465	0.001309602	0.0053137	0.002486392	0	0.001337223	5.82E-05	0.00075429	0.001215214
OTU_98	0.001990793	0.004083653	0.005907116	0.000293582	0.000577701	0.007237786	0.00083697	0.001916282	0.004441251	0.007105246	0.000486559	0.00035073	0.001202887	0.001701878	0.000952438	0.000320102	0.002486392	0.000238834	0.000790177	0.001047913	0.000377145	0.003038036
OTU_489	0	0.000123747	0	0.002935823	0.004159445	0	0.000119567	0	0.000849063	0	0.000973118	0.000491021	5.73E-05	0.000293427	0.000238109	0.005185659	0	0	0.002370532	0.000291087	0.000282859	6.08E-05
OTU_31	0.00547468	0.010147259	0.000611081	0.00364042	0.002541883	0.028140014	0.000119567	0.041619259	0.000391875	0	0.000425739	0.001262626	0.029957613	0.009683099	0.002440621	0.000128041	0.004569585	0.015822785	0.008874301	0.004016999	0.001885725	0.001215214
OTU_74	0.003110613	0.003031803	0.016431287	0	0.00023108	0	0	0.000838374	0	0.007676204	6.08E-05	0.001262626	0	0.001173709	0.004405024	0.001088348	0	0	0	5.82E-05	0	0.000607607
OTU_134	0	0.000309368	0.000814775	0	0.00028885	0.000187184	0	0	0	0	0.005656246	0.000911897	0	0.000528169	0.00089291	0.000832266	0.002822391	0	0	0	0	6.08E-05
OTU_95	0	6.19E-05	0.000882672	0	0.00017331	0.000436763	0	0.000119768	0	0	0.019401533	0	0	0.000293427	0.003452586	0.000256082	0	0	0.000121566	0.001979391	0.000282859	0.004496294
OTU_1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176056	0	0	0.0001344	0.001791259	0.000121566	0	9.43E-05	6.08E-05
OTU_464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000476219	0	0	0	0	0	0	0.000303804
OTU_48	0.00055991	0.001237471	0	0.00082203	0.000577701	0.000374368	0.000717403	0.000239535	0.002155313	0.001268794	0.000243279	0.000771605	0.000630084	0.002112676	0.001011965	0.000512164	0.002620792	0.000955338	0.001094092	0.000174652	0	0.002612711
OTU_683	0.000248849	0	0	0.00199636	0	0.000249579	0.002032642	5.99E-05	0.000326563	0.000253759	0.00012164	7.01E-05	5.73E-05	5.87E-05	0.000654801	0.002368758	0.000201599	0.025794125	0.001033309	5.82E-05	0.000282859	0.000121521
OTU_25	6.22E-05	0.000185621	0	0.045387822	0	0	0	0	0	6.34E-05	0.072010704	7.01E-05	0	0.000117371	0	0.126952625	0	0.000477669	0	0.000116435	9.43E-05	0.000243043
OTU_1149	0	0.000804356	0.000678979	0	0	0	0.000597836	5.99E-05	0	0.000444078	0	0.003296857	0	0.002464789	0.001666766	6.40E-05	0.001612795	0	0	5.82E-05	0	0.000425325
OTU_279	0	0.001546838	0.000135796	0.000293582	0.006123628	0.007487365	0.005440306	0.001018025	0.02305532	0	6.08E-05	0.03801908	0.212681865	0.000821596	0.00089291	0	0.00638398	5.97E-05	0.003525407	0.022180823	0.04403168	0.000425325
OTU_231	0	0	0	0	0	0	0	0	0	0	0.00425739	0	0	0	0	0	0	0	0	0.000174652	0	6.08E-05
OTU_884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119055	0	0	0	0	0	0	0
OTU_1020	0	0.000309368	6.79E-05	0	0	0	0	0	0	0	0.000304099	7.01E-05	0	0.000352113	0.000119055	0	0	0.005672319	0	0	9.43E-05	0
OTU_62	0.009082991	0.00822918	0.004073873	0.00082203	0.000519931	0.001747052	0	0.000898257	0.001045	0.000761276	0.00401411	0.00154321	0.000572803	0.002406103	0.002142985	0.002368758	0.003897588	0.000238834	0	0.001862956	0.00603432	0.001032932
OTU_959	6.22E-05	0	0	0.000293582	0.00017331	0.000124789	5.98E-05	0	0	0	0	0	0.000114561	5.87E-05	0	0	0	0	6.08E-05	5.82E-05	9.43E-05	0.000121521
